"gross","budget","numGenres","imdbScore","numCriticReviews","numMovieFacebookLikes","castMovieLikes","numFacesInPoster","directorFacebookLikes","contentRating","duration","titleYear"
3,31,1,1,2,3,5,2,4,2,6,6
6,39,2,7,2,1,3,1,18,1,6,4
5,68,2,11,2,6,3,3,13,1,13,4
6,70,2,7,2,3,3,2,19,2,8,5
1,1,2,8,2,2,2,1,3,1,6,7
3,5,2,2,2,2,3,2,1,1,6,7
5,51,1,6,2,3,3,1,3,3,6,3
5,68,4,6,2,3,3,4,19,2,7,4
1,1,2,8,2,3,3,2,1,5,6,7
3,6,1,8,2,3,4,3,3,3,6,7
2,6,2,3,2,2,3,7,3,2,6,7
3,9,1,10,2,3,3,1,3,5,7,7
6,21,4,7,2,3,4,1,16,3,6,4
6,31,2,7,2,3,3,2,3,1,7,4
4,33,3,5,2,3,8,2,3,2,6,4
3,1,1,9,2,2,2,1,1,6,5,7
3,4,3,6,2,2,3,2,3,2,6,7
3,6,1,10,2,3,2,3,3,1,8,7
4,15,2,4,2,3,3,1,12,1,5,4
5,25,1,8,2,1,5,4,13,2,3,5
4,33,3,7,2,3,3,3,18,1,7,5
5,51,3,5,2,3,8,1,13,2,6,4
5,64,3,5,2,3,4,4,18,3,6,6
2,1,2,6,2,2,3,1,4,1,6,6
4,2,2,6,2,1,3,2,3,1,4,7
1,4,3,6,2,3,3,2,3,3,6,7
4,5,1,9,2,3,2,1,3,1,6,6
1,7,2,8,2,3,3,1,3,1,6,7
5,7,2,3,2,2,3,1,3,1,5,7
5,11,3,5,2,3,3,2,4,3,6,4
3,19,3,6,2,1,3,3,3,3,6,7
5,31,2,10,2,4,4,1,4,1,6,6
1,52,3,6,2,3,3,2,3,2,6,7
7,70,3,7,2,3,3,4,19,3,7,4
1,3,2,7,2,3,10,3,3,1,7,7
3,3,3,8,2,2,3,4,16,1,5,6
4,19,4,2,2,3,3,3,1,2,6,4
4,19,2,8,2,1,2,2,4,2,6,4
2,20,2,2,2,3,9,1,3,3,4,5
1,4,1,8,2,2,3,1,3,1,6,6
1,4,1,6,2,3,3,7,4,1,6,7
3,8,1,7,2,3,3,1,10,2,7,7
2,9,3,6,2,3,3,2,1,2,6,7
6,19,3,9,2,3,3,1,4,1,6,7
7,21,3,9,2,1,3,2,3,2,6,4
5,53,5,3,2,3,4,1,6,2,6,7
5,57,2,2,2,3,9,3,3,3,6,6
5,66,5,9,2,3,7,1,3,4,3,6
3,1,5,9,2,3,2,1,5,1,3,6
4,11,1,5,2,3,3,2,4,1,5,4
4,13,2,7,2,1,3,1,3,3,6,7
5,13,1,2,2,3,3,3,1,1,6,6
4,17,2,9,2,3,3,1,18,1,6,4
6,26,3,7,2,1,8,3,1,2,5,4
6,70,2,5,2,1,4,2,10,3,6,5
5,5,1,9,2,1,3,2,3,2,7,7
3,10,2,7,2,3,3,3,3,1,5,7
2,11,2,8,2,3,3,2,20,1,6,7
6,13,2,9,2,6,4,2,19,1,6,5
1,31,2,2,2,3,4,2,3,2,6,7
5,51,2,7,2,3,9,1,18,2,6,4
5,58,3,7,2,3,5,4,13,2,6,6
3,1,2,10,3,1,9,6,3,1,6,7
5,1,1,9,3,3,3,2,19,1,4,4
1,11,1,7,3,3,3,3,3,1,6,7
5,14,5,9,3,3,3,1,4,7,6,1
13,33,3,7,3,5,9,5,25,3,6,4
4,37,3,7,3,2,3,4,13,1,6,6
4,41,3,5,3,3,3,1,8,1,6,4
3,51,3,7,3,3,9,1,4,3,6,7
5,62,3,6,3,3,5,4,4,3,6,6
8,70,3,6,3,1,4,2,8,1,7,4
2,1,1,10,3,3,1,1,3,5,5,7
1,6,2,6,3,2,3,3,22,1,7,7
5,11,2,5,3,3,3,1,3,1,6,4
6,16,2,6,3,3,3,8,1,1,6,6
5,19,1,2,3,3,3,2,8,1,4,7
5,21,3,6,3,3,3,5,1,1,7,4
2,25,2,7,3,4,3,3,1,1,6,7
7,31,4,8,3,1,3,7,8,3,6,4
5,58,5,7,3,3,3,3,20,4,10,2
5,58,3,10,3,1,3,1,4,3,13,4
5,74,5,7,3,1,3,2,4,3,6,5
4,1,3,8,3,3,2,1,3,1,6,5
4,11,2,8,3,2,2,2,18,1,6,7
3,25,4,9,3,1,3,3,4,2,6,6
1,31,2,6,3,3,8,3,3,2,6,7
4,31,3,6,3,1,5,1,7,2,7,7
5,31,3,8,3,3,9,2,1,1,8,4
5,37,2,2,3,3,3,1,3,1,5,6
5,41,2,3,3,2,5,7,2,2,6,7
6,59,2,5,3,3,2,2,1,3,6,6
6,69,1,6,3,3,3,3,4,3,6,6
1,1,2,11,3,3,3,2,1,5,6,1
6,11,3,6,3,2,2,2,3,1,7,7
5,35,3,8,3,3,3,2,11,1,6,6
7,36,3,9,3,6,3,1,19,4,2,4
5,48,1,6,3,1,3,1,3,2,7,8
7,58,2,3,3,1,3,1,1,2,6,7
5,68,3,3,3,1,3,1,4,3,6,6
4,72,2,4,3,2,3,3,13,1,6,6
4,1,1,8,3,1,13,7,1,2,6,7
3,3,2,7,3,3,9,2,8,1,6,7
4,4,1,8,3,3,3,3,4,1,5,6
5,18,2,1,3,3,3,6,3,2,6,7
5,19,3,7,3,3,3,1,4,1,6,5
1,22,2,8,3,3,2,7,1,1,6,7
4,23,2,7,3,3,3,1,1,3,6,7
5,23,2,1,3,3,3,1,8,2,6,7
8,31,2,7,3,3,3,2,3,1,6,3
6,37,3,7,3,3,3,2,3,3,6,6
5,39,2,9,3,3,3,1,1,2,7,5
6,41,5,6,3,3,3,1,3,1,6,4
5,47,3,4,3,3,3,1,4,3,6,3
7,70,3,7,3,3,2,3,19,2,6,4
6,72,3,7,3,1,3,2,1,3,6,5
5,1,2,8,3,3,3,1,1,1,6,4
2,3,2,12,3,1,2,2,3,5,6,7
6,9,2,8,3,1,3,1,3,1,3,7
2,19,1,3,3,3,8,1,1,1,5,7
2,25,3,8,3,3,3,6,6,1,6,7
4,29,1,7,3,1,3,4,3,3,6,7
4,51,3,3,3,4,3,1,4,3,7,3
6,51,2,6,3,3,4,1,3,1,5,7
11,74,3,7,3,1,3,1,6,3,6,5
5,15,1,3,3,3,3,3,8,1,6,7
2,17,2,9,3,3,5,1,3,3,6,7
2,18,5,4,3,3,6,4,6,1,6,7
2,21,2,8,3,3,8,6,1,1,5,7
2,23,3,7,3,3,10,3,1,1,7,7
5,23,3,8,3,3,7,3,3,3,7,7
4,31,3,6,3,3,3,5,3,1,6,4
7,41,3,9,3,1,10,5,4,3,7,5
12,41,2,7,3,1,3,2,19,3,6,4
5,45,4,7,3,1,2,2,4,1,6,4
6,47,2,5,3,3,3,3,3,2,4,6
4,51,3,9,3,1,3,5,3,3,7,8
5,51,3,8,3,4,3,6,13,4,12,1
6,52,2,8,3,3,4,4,11,2,6,6
7,71,3,8,3,1,8,1,1,2,7,6
1,3,1,8,3,3,3,3,1,2,6,7
3,5,2,9,3,3,3,1,3,1,6,6
5,8,2,9,3,3,6,8,1,1,7,6
2,9,1,9,3,1,2,1,1,1,4,7
6,13,3,10,3,1,3,3,13,1,6,4
6,17,3,4,3,3,3,2,1,4,3,7
5,23,3,7,3,3,4,2,6,1,6,7
4,41,3,7,3,3,4,1,1,2,7,7
4,43,2,8,3,3,3,3,4,1,8,6
4,51,4,8,3,3,3,1,3,4,6,7
4,51,2,1,3,3,3,3,13,1,4,7
4,58,3,9,3,3,4,1,13,2,7,6
5,58,1,6,3,3,3,1,4,1,6,4
7,71,2,6,3,3,10,2,3,1,7,6
3,1,1,10,3,1,2,1,1,6,6,7
1,3,2,3,3,3,3,6,4,5,5,7
4,3,1,9,3,3,3,2,1,6,6,7
1,5,4,7,3,3,4,1,10,1,4,7
3,5,3,7,3,3,3,3,2,2,3,7
5,11,2,1,3,3,3,2,3,3,6,4
1,16,2,6,3,1,3,2,18,1,6,7
5,17,5,7,3,3,2,1,11,3,4,7
5,17,5,7,3,1,3,1,3,3,6,3
6,17,1,2,3,1,3,8,3,3,7,8
6,29,5,9,3,1,4,5,19,1,7,6
1,31,1,2,3,2,3,1,8,1,5,6
5,31,2,6,3,3,4,1,4,2,4,7
6,51,3,6,3,1,3,2,3,1,7,6
7,58,4,7,3,3,3,3,19,1,6,6
8,58,5,7,3,1,3,2,4,2,6,4
6,9,1,5,3,1,3,1,8,3,5,7
5,11,2,5,3,3,3,1,5,1,6,6
3,13,2,8,3,3,4,4,1,1,6,7
5,35,2,4,3,3,4,4,1,1,6,6
5,55,5,7,3,1,4,3,4,1,6,4
8,64,2,8,3,3,3,2,1,1,8,4
5,1,2,8,3,1,3,1,20,3,7,7
2,4,1,8,3,3,2,1,13,1,6,7
2,6,1,8,3,3,4,2,3,3,6,7
2,7,1,7,3,2,3,4,16,1,6,6
4,11,4,5,3,1,3,1,1,2,4,7
3,15,1,6,3,3,4,1,10,1,6,7
5,19,1,9,3,3,4,3,13,1,6,6
5,23,4,7,3,1,3,1,6,1,6,4
7,44,4,9,3,1,5,2,3,2,6,4
5,51,5,1,3,3,3,1,3,4,3,7
7,51,3,7,3,3,3,2,13,1,6,6
8,51,3,4,3,1,3,6,1,2,7,7
5,58,5,3,3,3,3,4,4,2,6,7
5,69,2,8,3,3,4,1,1,2,8,6
3,69,5,5,3,3,3,3,6,2,6,7
3,1,3,5,3,2,3,1,1,1,5,6
3,6,2,7,3,1,3,1,19,1,4,7
2,25,3,6,3,3,7,5,19,2,6,7
6,25,3,9,3,3,3,1,6,6,10,1
6,27,3,9,3,4,3,1,4,1,7,2
6,29,2,8,3,1,5,6,11,1,7,7
5,42,4,3,3,3,3,4,3,2,6,7
5,57,5,5,3,1,3,1,1,4,7,2
6,68,3,8,3,3,3,3,1,1,9,4
4,4,4,9,3,4,2,1,4,2,6,7
2,5,2,7,3,3,3,1,4,1,6,6
5,11,4,7,3,1,3,1,18,1,6,6
5,11,4,7,3,3,4,1,3,3,3,7
5,31,5,6,3,2,5,1,1,3,3,7
6,35,3,7,3,3,3,1,1,1,6,4
6,7,1,9,3,7,3,7,20,2,8,7
5,19,3,7,3,1,7,5,10,1,6,4
4,23,2,8,3,3,3,3,2,4,6,7
7,24,2,9,3,3,4,6,11,1,7,6
6,35,2,7,3,1,6,3,6,1,6,7
2,39,1,7,3,3,3,5,18,1,6,7
5,51,4,8,3,1,8,2,4,3,6,6
6,51,4,3,3,4,3,2,1,1,6,5
6,70,7,7,3,1,8,1,3,4,5,6
5,74,2,5,3,3,8,2,20,1,8,5
7,78,2,7,3,3,4,3,6,2,7,6
2,3,1,7,3,3,3,1,20,5,5,7
4,4,3,9,3,1,10,3,3,1,6,7
1,5,1,7,3,5,6,2,3,1,5,7
4,6,2,8,3,2,3,7,4,1,6,7
3,6,2,6,3,3,2,1,19,1,7,7
6,11,4,5,3,3,4,1,15,3,6,6
6,23,4,5,3,3,5,3,4,1,6,4
5,24,2,1,3,3,4,3,3,2,6,7
12,72,3,4,3,1,3,3,4,3,6,5
7,90,5,6,3,1,7,1,4,3,7,6
5,1,3,8,3,3,2,1,1,1,6,5
4,2,2,7,3,3,2,7,3,7,6,1
2,5,2,6,3,3,3,2,3,1,6,8
2,19,2,7,3,3,3,1,21,1,6,7
7,37,2,3,3,4,3,6,1,2,7,7
4,43,3,1,3,1,3,2,4,2,6,6
5,51,3,7,3,1,3,1,3,3,7,7
6,55,2,7,3,3,9,3,7,2,7,7
5,58,5,5,3,3,6,2,13,1,6,6
6,62,3,8,3,7,3,1,16,3,6,4
7,76,4,6,3,3,3,2,20,1,6,5
6,77,3,8,3,3,9,2,1,1,7,3
2,1,1,8,3,3,3,3,13,1,6,7
5,11,1,1,3,3,3,1,3,2,6,7
5,15,2,1,3,3,3,3,1,2,6,7
3,17,3,7,3,3,8,4,28,1,6,6
6,25,4,8,3,1,3,2,4,2,6,7
5,33,2,7,3,1,4,1,2,2,6,7
5,35,3,5,3,3,4,1,4,3,6,7
7,37,3,7,3,1,6,8,3,2,7,7
5,39,1,7,3,3,6,1,1,1,6,6
5,41,4,6,3,3,2,1,3,4,5,7
6,43,2,5,3,1,4,4,3,2,5,7
13,47,3,8,3,1,7,3,1,3,7,4
6,51,3,8,3,1,3,2,3,3,8,6
5,69,2,8,3,3,8,5,1,2,8,6
4,1,1,9,3,2,3,2,1,1,6,7
5,3,3,6,3,3,3,2,12,1,6,2
5,5,3,8,3,3,9,2,13,1,6,6
3,6,2,7,3,1,3,1,3,2,6,7
7,22,1,9,3,1,9,1,27,1,7,3
5,31,3,6,3,3,10,2,3,1,6,7
4,35,3,9,3,1,3,1,3,3,6,7
6,39,6,8,3,3,2,1,3,4,4,7
5,45,2,7,3,1,3,1,18,1,7,4
3,46,3,7,3,3,2,1,1,1,7,7
6,58,5,5,3,3,3,1,1,3,5,7
5,69,3,8,3,3,2,2,3,1,7,6
4,6,2,9,3,1,3,2,3,2,6,7
4,7,3,5,3,1,3,2,3,2,6,8
3,17,4,7,3,1,5,2,3,1,6,7
5,24,5,2,3,3,3,1,1,2,6,7
5,37,2,7,3,3,6,4,3,1,6,7
8,41,4,9,3,1,3,2,18,3,6,4
7,64,4,5,3,4,4,7,3,3,6,7
6,72,5,5,3,3,4,2,4,1,6,6
9,72,4,8,3,4,4,4,19,2,7,5
5,1,1,10,3,3,3,1,21,1,6,4
5,2,2,3,3,3,3,1,4,1,6,4
5,15,1,9,3,3,3,1,1,1,6,4
6,19,2,7,3,3,3,3,3,1,6,7
5,25,2,8,3,1,3,1,4,1,4,6
6,39,4,6,3,3,3,3,3,1,6,7
6,41,2,6,3,1,3,3,4,1,6,4
4,42,3,7,3,3,4,1,3,1,6,7
5,46,4,3,3,1,3,6,13,3,6,7
5,51,2,2,3,1,3,3,19,3,6,3
7,51,3,3,3,1,6,7,1,2,7,7
5,70,4,7,3,3,3,3,1,2,6,4
5,70,3,7,3,3,8,4,6,1,6,5
6,79,5,8,3,1,5,1,20,2,12,5
8,80,4,7,3,1,3,2,3,2,6,7
6,81,5,6,3,3,3,2,4,1,6,5
4,14,4,9,3,3,2,1,13,8,6,1
3,15,2,9,3,3,3,5,7,1,6,7
3,25,2,8,3,3,3,4,4,1,6,7
7,41,2,6,3,4,6,7,1,2,7,7
6,43,4,8,3,4,3,3,18,1,8,7
5,53,3,2,3,3,5,1,4,3,3,7
3,70,5,3,3,3,3,2,1,3,6,7
12,70,3,9,3,1,8,4,19,3,8,4
4,12,2,9,3,1,7,5,18,1,6,6
5,17,2,9,3,1,3,6,18,1,6,3
6,17,2,9,3,1,3,2,4,6,8,1
5,21,1,3,3,3,4,1,1,1,6,7
8,21,2,9,3,1,3,2,8,3,10,5
3,35,1,3,3,3,9,2,3,1,6,7
7,37,3,4,3,1,3,2,3,3,6,7
5,41,2,9,3,1,3,1,11,1,6,7
5,41,3,4,3,3,3,3,4,2,6,6
5,41,3,8,3,3,8,1,24,3,7,4
2,53,3,6,3,3,8,4,3,1,6,7
4,53,3,7,3,3,3,4,4,1,6,6
7,72,4,7,3,1,8,2,13,2,7,5
12,79,4,9,3,1,8,2,13,2,9,5
2,1,1,8,3,3,2,1,3,3,6,7
3,1,3,6,3,2,3,2,3,1,3,7
3,2,1,9,3,3,3,2,3,3,5,6
4,6,2,9,3,3,8,2,25,1,6,6
5,13,3,7,3,3,3,3,1,1,6,6
2,17,2,3,3,3,3,2,3,2,6,7
1,19,2,6,3,1,8,2,3,2,5,7
8,25,3,7,3,1,8,3,22,3,7,3
4,33,4,6,3,3,3,1,6,1,7,7
6,39,2,4,3,5,7,2,6,2,4,7
5,41,2,5,3,1,3,6,4,2,6,7
7,49,4,9,3,1,8,2,3,1,7,4
6,51,5,7,3,1,9,3,3,3,6,4
7,52,3,7,3,1,8,2,27,3,8,3
9,55,2,9,3,1,4,6,13,2,5,4
7,64,2,8,3,4,4,6,11,2,4,5
6,66,4,9,3,1,3,4,13,1,7,4
5,68,4,2,3,3,7,2,1,4,6,7
6,72,3,7,3,1,3,1,24,2,7,6
11,72,4,8,3,1,10,1,10,2,9,4
3,5,1,8,3,3,3,1,4,1,6,7
6,15,3,8,3,3,3,1,18,5,10,1
2,17,3,10,3,1,3,2,1,1,6,7
5,41,2,5,3,3,3,2,3,2,6,7
5,45,5,6,3,3,3,1,3,4,2,7
7,47,4,7,3,1,8,1,1,2,6,4
6,55,5,8,3,3,3,1,3,4,4,7
6,58,3,9,3,1,11,4,3,2,6,5
6,62,2,9,3,1,8,2,13,1,9,5
6,64,4,6,3,1,9,2,4,1,6,5
5,68,2,7,3,3,3,3,3,2,6,7
6,69,1,6,3,3,4,2,1,2,6,7
5,83,2,3,3,3,4,1,1,1,6,6
5,6,2,9,3,1,9,3,4,1,6,4
2,14,2,6,3,3,10,2,1,1,5,7
4,15,1,6,3,3,3,4,4,1,6,7
8,16,1,8,3,1,3,1,4,1,6,3
4,25,4,7,3,1,3,3,9,1,3,4
5,25,2,7,3,3,3,2,22,2,6,7
5,35,2,3,3,3,3,3,13,2,4,7
6,35,1,3,3,3,5,6,3,2,6,7
5,41,4,7,3,1,4,2,9,1,7,3
6,47,4,1,3,1,3,3,10,3,6,7
5,51,3,8,3,1,9,2,1,2,6,5
6,51,4,8,3,3,3,1,1,4,2,7
5,55,1,8,3,4,12,3,3,2,6,6
1,57,4,5,3,3,3,3,18,2,6,7
11,57,6,7,3,3,4,1,3,4,4,6
6,58,6,6,3,3,3,1,1,3,4,7
8,76,4,7,3,1,8,2,11,1,6,4
4,3,2,8,3,1,2,1,3,1,5,7
2,7,1,8,3,3,13,4,3,1,6,7
3,12,1,3,3,3,3,1,3,1,5,7
3,19,2,9,3,3,11,3,1,2,6,7
8,19,3,4,3,3,5,5,1,2,6,7
4,25,3,9,3,3,3,1,19,1,8,7
5,41,3,7,3,4,4,1,10,3,6,7
6,41,3,7,3,4,4,1,3,3,6,7
5,43,3,3,3,1,3,3,6,3,5,7
5,43,3,6,3,3,3,2,3,2,6,7
6,60,4,9,3,1,3,5,20,2,8,3
9,60,3,7,3,1,3,5,19,2,7,4
5,73,4,6,3,3,7,2,19,1,6,6
6,74,3,4,3,1,3,2,3,2,6,7
9,86,7,7,3,1,8,2,4,3,6,6
2,9,4,7,3,1,3,1,3,2,6,7
5,31,2,9,3,4,3,4,2,2,6,7
5,37,4,6,3,1,9,1,2,2,5,7
5,39,1,8,3,3,7,2,22,1,6,7
5,55,5,5,3,3,3,3,18,3,6,7
5,69,4,7,3,3,9,1,13,1,7,6
8,72,2,9,3,1,8,2,13,1,7,4
6,74,4,6,3,4,10,2,11,2,6,6
6,74,3,3,3,3,3,2,1,1,6,5
7,78,2,6,3,4,3,2,3,1,6,5
5,11,2,3,3,3,3,2,1,1,4,7
2,29,4,5,3,4,2,6,3,1,6,7
4,36,2,8,3,3,3,4,18,1,6,6
6,58,2,9,3,1,11,1,1,1,8,6
12,58,4,7,3,1,3,1,10,1,8,4
6,70,6,7,3,5,3,6,17,1,6,4
7,72,4,7,3,4,4,1,4,1,8,6
4,8,4,5,3,3,2,3,3,1,6,4
5,11,3,7,3,3,4,4,4,1,5,7
4,13,3,6,3,1,7,4,3,1,5,7
4,31,3,6,3,3,9,1,3,1,6,7
4,31,1,2,3,1,3,2,13,1,6,7
6,37,1,7,3,4,8,2,3,2,6,7
5,41,3,3,3,3,3,5,6,2,6,7
5,41,3,6,3,3,7,1,3,3,6,7
3,58,4,6,3,3,3,8,13,1,7,7
7,58,4,8,3,1,3,3,13,1,6,6
8,60,4,8,3,1,7,6,19,1,7,4
5,75,5,3,3,3,3,3,13,2,6,4
7,76,3,8,3,6,9,4,1,2,6,4
6,80,3,4,3,3,3,3,10,3,6,7
6,85,5,3,3,3,10,1,3,3,6,7
6,3,2,8,3,1,3,1,20,3,7,7
2,13,3,5,3,4,6,4,4,2,6,7
2,13,2,8,3,3,9,5,3,1,6,7
4,15,1,10,3,1,4,1,19,1,5,6
5,23,1,9,3,3,3,4,20,1,6,6
7,37,5,9,3,1,3,6,6,1,6,4
1,41,5,7,3,3,3,2,3,1,6,7
5,41,3,6,3,3,8,5,3,2,6,7
6,41,3,8,3,1,2,1,6,3,7,7
4,45,3,8,3,1,3,1,3,3,6,3
8,47,2,6,3,3,4,5,3,2,6,7
5,58,5,6,3,3,3,2,3,1,6,6
12,60,1,7,3,1,3,4,4,3,6,6
13,62,4,8,3,1,4,2,25,1,6,4
6,67,4,4,3,3,3,3,3,2,6,7
6,70,2,7,3,3,9,3,3,1,7,6
5,74,3,5,3,3,5,1,20,1,6,5
6,76,4,6,3,1,9,4,25,1,7,6
3,1,3,8,3,3,3,1,13,1,5,7
5,1,3,9,3,3,2,2,20,1,6,7
4,5,4,9,3,3,3,2,13,1,6,7
2,7,6,8,3,1,2,2,3,2,6,6
5,15,2,8,3,1,7,6,11,1,6,5
9,15,3,7,3,1,3,1,18,1,6,3
4,31,1,5,3,3,3,3,1,1,6,7
6,39,2,10,3,1,10,3,19,1,7,4
6,39,2,10,3,1,10,3,19,1,7,4
5,57,2,5,3,3,5,2,6,2,6,7
6,68,4,6,3,3,4,1,3,3,6,7
6,70,4,3,3,3,3,2,4,1,7,6
5,82,5,6,3,6,6,2,3,3,6,7
5,19,2,1,3,3,3,3,1,3,6,7
6,19,2,7,3,3,6,5,3,1,6,7
6,22,2,6,3,1,6,7,8,2,7,7
3,23,2,9,3,1,8,3,4,1,7,5
5,25,1,1,3,3,3,2,2,1,6,7
6,27,1,4,3,1,7,8,8,2,6,7
4,30,2,8,3,3,3,1,1,1,10,7
5,31,2,5,3,1,8,8,3,3,6,7
9,31,3,9,3,1,10,2,19,1,7,3
5,35,2,6,3,3,3,1,19,3,6,4
5,37,3,8,3,5,3,5,1,1,6,5
6,45,5,5,3,3,3,2,3,3,5,7
8,57,2,6,3,5,4,7,13,2,6,7
5,58,2,5,3,3,3,2,6,2,5,7
5,58,2,5,3,3,3,2,6,2,5,7
5,67,3,6,3,3,3,2,5,2,7,7
5,4,3,11,3,1,3,1,3,1,12,2
5,4,3,12,3,1,2,1,4,2,11,5
6,11,2,8,3,3,3,1,1,1,7,7
1,14,3,9,3,3,3,3,19,8,10,1
6,25,3,10,3,1,9,1,13,3,7,2
5,35,1,6,3,3,3,4,4,1,6,7
5,51,3,3,3,3,3,4,3,2,6,7
7,53,5,6,3,1,3,1,4,2,7,5
5,55,2,6,3,3,3,5,3,2,6,7
12,66,4,8,3,1,6,2,18,3,7,6
6,76,4,7,3,1,3,4,13,2,8,5
12,76,5,6,3,6,4,1,4,3,6,6
9,86,3,5,3,1,11,2,3,3,6,6
4,3,1,9,3,3,3,1,4,1,7,7
4,5,2,6,3,3,9,4,6,1,5,6
7,33,2,10,3,6,3,2,4,1,7,4
1,43,3,5,3,1,3,3,13,2,6,7
5,47,2,5,3,3,9,1,4,3,6,7
5,68,4,8,3,1,8,3,18,1,8,7
7,69,2,8,3,1,8,1,15,3,6,7
5,70,1,7,3,3,4,2,4,2,6,7
7,30,1,7,3,1,4,2,4,1,6,7
6,31,4,9,3,1,4,2,10,2,6,3
8,41,2,10,3,1,4,2,24,1,6,3
6,60,6,3,3,3,4,5,3,3,6,7
6,69,2,6,3,3,3,2,3,3,6,7
12,69,2,9,3,6,4,1,15,2,6,4
8,74,4,4,3,1,3,1,13,2,6,5
13,74,4,8,3,1,13,2,18,2,7,6
8,76,2,7,3,1,4,1,18,1,8,5
6,78,2,7,3,1,4,2,4,2,8,7
4,1,5,9,3,1,2,1,1,1,4,4
1,5,3,9,3,1,3,1,1,1,4,7
5,17,2,5,3,3,3,5,4,1,6,7
5,25,5,8,3,1,8,1,3,1,6,5
5,39,2,3,3,3,3,3,13,2,6,7
7,43,2,2,3,4,3,3,3,3,4,7
8,45,2,8,3,6,5,6,11,1,7,7
7,60,3,10,3,1,3,9,1,3,11,2
6,64,2,9,3,1,3,4,27,3,9,4
5,69,3,7,3,3,8,4,13,1,7,7
13,71,3,9,3,1,8,1,19,1,10,4
5,78,2,4,3,3,3,2,8,3,7,6
4,6,4,7,3,3,3,1,13,1,6,4
4,31,3,8,3,4,4,1,1,1,8,7
7,33,2,9,3,1,4,4,4,1,6,4
6,37,4,7,3,3,3,6,3,1,6,6
3,41,3,9,3,3,3,1,13,1,7,7
12,47,4,9,3,1,3,1,6,2,7,5
6,51,4,8,3,1,8,1,4,1,7,5
14,58,4,9,3,1,11,6,1,2,7,4
8,64,4,10,3,7,10,3,19,1,8,5
12,75,3,6,3,3,3,2,18,2,6,6
6,78,4,2,3,3,6,1,4,3,6,7
6,6,1,9,3,5,3,3,1,1,6,4
6,25,2,2,3,1,3,1,20,2,6,7
5,33,1,5,3,3,7,2,8,1,5,7
7,38,2,6,3,1,3,3,3,2,5,7
5,51,2,5,3,3,4,5,4,1,5,7
4,1,2,8,3,3,3,1,4,1,6,7
3,5,2,7,3,1,3,1,19,9,6,6
5,17,2,9,3,1,4,2,3,2,10,4
5,17,1,2,3,7,3,5,11,1,6,8
6,25,3,6,3,1,3,3,3,2,6,7
6,37,2,6,3,1,3,1,3,1,2,4
7,38,2,9,3,1,8,2,27,1,7,4
5,51,4,7,3,1,4,1,3,1,6,7
6,51,3,9,3,4,4,1,21,1,6,5
7,60,4,3,3,3,4,2,4,3,6,7
6,64,5,2,3,4,3,1,4,2,6,6
